R,G,B
0,30,0
0,31,0
0,25,0
0,24,0
0,27,0
0,35,0
0,29,0
0,36,0
0,26,0
0,28,0
0,21,0
0,33,0
0,22,0
0,23,0
0,32,0
0,34,0
0,19,0
0,37,0
0,38,0
0,20,0
0,39,0
0,41,0
0,42,0
0,18,0
0,40,0
0,43,0
0,16,0
0,17,0
0,45,0
0,27,12
0,46,0
0,44,0
0,48,0
0,49,0
0,39,12
0,47,0
0,15,0
0,32,11
0,32,8
0,38,11
0,51,0
0,30,6
0,13,0
0,50,0
0,22,9
0,25,10
0,28,13
0,34,10
0,52,0
0,23,7
0,20,11
0,31,10
0,20,8
0,18,6
0,31,7
0,14,0
0,53,0
0,12,0
0,31,14
0,33,6
0,28,6
0,40,13
0,32,5
0,17,5
0,33,16
0,29,5
0,28,10
0,54,0
0,26,11
0,16,6
0,32,15
0,15,12
0,34,7
0,37,10
0,33,12
0,30,9
0,45,16
0,31,4
3,19,9
0,28,4
0,29,11
0,42,13
0,25,6
0,35,11
0,27,10
0,24,10
0,30,15
0,21,6
0,17,11
0,44,12
0,59,0
0,33,9
0,55,0
3,21,9
0,24,11
0,40,16
0,27,9
0,43,14
0,23,10
0,19,10
0,44,15
0,23,1
0,41,14
0,38,17
0,24,2
0,21,8
0,39,10
0,42,6
0,22,6
0,27,3
0,29,8
1,19,7
0,27,5
0,58,0
0,21,5
0,41,12
4,20,9
0,24,5
0,21,12
0,19,13
0,25,3
0,56,0
0,30,12
0,37,16
0,36,9
0,10,0
0,36,15
0,21,2
0,41,11
0,20,5
4,17,10
0,43,16
0,40,10
0,36,10
3,19,8
0,62,0
0,37,19
0,35,5
0,19,7
0,46,14
2,18,8
0,39,15
0,57,0
0,31,16
0,28,14
0,29,7
0,33,13
0,42,9
0,41,5
0,35,8
0,42,15
0,38,15
5,23,11
0,38,14
0,21,4
0,30,13
4,19,12
2,17,10
4,21,11
0,15,5
0,28,5
2,18,7
0,23,5
0,35,15
4,17,8
0,24,9
2,21,15
0,41,9
0,11,0
0,43,15
0,26,8
5,18,9
5,29,15
0,30,3
0,20,9
3,16,7
0,35,14
0,30,14
0,14,11
1,24,6
4,15,9
1,22,7
3,23,12
0,46,17
0,43,7
2,17,14
0,18,9
0,29,9
6,26,14
0,16,10
0,42,14
4,26,13
3,27,11
0,61,0
0,60,0
0,34,17
0,26,2
5,21,11
0,40,6
3,16,9
5,16,8
5,16,10
4,24,12
0,18,2
0,32,13
3,30,15
0,17,1
2,19,13
0,16,5
2,28,15
0,22,10
0,27,8
5,25,13
0,39,9
2,27,8
0,44,21
0,20,4
1,22,13
3,27,13
0,29,2
0,29,13
0,31,15
3,26,16
0,37,12
0,34,12
4,20,10
4,22,8
0,26,9
0,27,15
0,39,13
0,23,8
0,31,8
0,34,9
3,24,15
0,16,4
1,32,16
4,28,15
3,18,11
143,149,137
2,18,5
2,26,12
0,35,7
1,17,7
0,28,7
2,22,10
0,26,15
3,25,13
0,31,13
0,37,13
0,16,3
0,51,15
0,23,4
0,44,8
0,35,17
6,22,12
0,36,5
