R,G,B
25,35,26
24,34,25
26,36,27
23,33,24
27,37,28
28,38,29
21,28,21
22,32,23
22,29,22
29,39,30
26,33,25
30,40,31
27,34,26
25,32,24
21,31,22
20,27,20
23,30,23
24,31,23
24,31,24
28,35,27
22,32,24
21,31,23
27,39,29
31,41,32
23,30,22
25,37,27
26,38,28
20,30,22
28,40,30
23,33,25
25,32,25
29,41,31
24,34,26
30,42,32
24,36,26
32,42,33
31,43,33
25,35,27
29,36,28
30,37,29
19,26,19
20,30,21
26,33,26
26,36,28
23,35,25
19,29,21
28,40,28
33,43,34
32,44,34
22,29,21
30,42,30
31,43,31
31,38,30
29,41,29
27,37,29
22,34,24
33,45,35
27,34,27
27,39,27
26,38,26
28,38,30
21,33,23
34,44,35
32,44,32
34,46,36
28,38,27
19,29,20
25,37,25
35,47,37
27,37,26
29,43,30
32,39,31
30,40,29
36,46,37
35,45,36
25,35,24
29,39,28
32,46,33
18,28,20
33,45,33
29,39,31
28,42,29
24,36,24
31,41,30
30,44,31
26,36,25
28,35,28
36,48,38
34,46,34
26,40,27
21,28,20
33,40,32
32,42,31
27,41,28
34,41,33
26,39,29
29,42,32
29,36,29
37,49,39
20,32,22
23,35,23
33,47,34
31,45,32
33,43,32
27,40,30
25,38,28
28,41,31
37,47,38
35,47,35
30,37,30
26,37,29
24,34,23
34,44,33
30,43,33
24,35,27
27,38,30
28,39,31
30,40,32
25,39,26
33,46,36
31,44,34
38,48,39
23,33,22
32,45,35
35,49,36
36,48,36
25,36,28
21,32,24
23,34,26
24,37,27
24,38,25
18,28,19
36,50,37
38,50,40
22,33,25
18,25,18
37,49,37
39,49,40
31,38,31
34,48,35
35,45,34
35,42,34
36,46,35
21,33,21
31,41,33
17,27,19
23,36,26
39,51,41
29,40,32
22,34,22
28,44,31
35,48,38
37,51,38
20,27,19
36,43,35
37,44,36
32,42,34
22,32,21
34,47,37
38,50,38
40,52,42
39,51,39
22,35,25
27,43,30
28,33,26
39,53,40
23,37,24
29,45,32
36,49,39
38,52,39
27,35,24
26,31,24
31,47,34
28,36,25
32,39,32
19,31,21
22,27,21
40,50,41
30,41,33
40,52,40
37,50,40
33,49,36
33,43,35
38,48,37
37,47,36
41,53,43
27,32,25
30,44,29
26,34,23
32,46,31
26,42,29
38,51,41
31,39,28
20,31,23
29,37,26
19,30,22
32,48,35
34,50,37
41,53,41
34,48,33
30,46,33
29,34,27
31,43,29
30,38,27
31,45,30
28,42,27
31,42,34
23,28,22
39,49,38
24,29,23
21,31,20
32,40,29
40,54,41
35,51,38
29,43,28
25,41,28
33,47,32
32,49,33
33,41,30
25,39,24
21,34,24
38,45,37
35,49,34
38,54,41
40,53,43
30,47,31
21,26,20
29,46,30
28,45,29
27,41,26
30,35,28
25,30,23
36,50,35
32,43,35
25,33,22
18,30,20
33,50,34
22,36,23
36,52,39
30,42,28
41,54,44
33,40,33
42,54,44
34,44,36
30,46,35
34,50,39
28,40,26
41,51,42
17,27,18
37,53,40
35,51,40
25,30,24
27,40,31
33,49,38
21,35,22
29,41,27
